content,score,thumbsUpCount,reviewCreatedVersion,at
"Worst experience ever, item arrived broken",1,16,8.7,6/12/2024 13:00
"Average product, nothing special",4,11,8.7,6/18/2024 12:00
"Worst experience ever, item arrived broken",4,21,8.8,7/28/2024 8:00
"Average product, nothing special",1,16,9,6/29/2024 23:00
"Excellent customer service, quick refund",4,9,8.8,6/22/2024 10:00
Love the quality and fast delivery,3,0,8.8,6/30/2024 6:00
Return process is horrible,4,21,8.7,6/1/2024 18:00
App keeps crashing on iPhone,3,25,8.7,6/1/2024 22:00
Return process is horrible,3,17,8.8,6/18/2024 4:00
Return process is horrible,4,49,9,7/14/2024 21:00
Return process is horrible,2,13,8.7,6/5/2024 11:00
"Worst experience ever, item arrived broken",2,46,9,7/28/2024 22:00
"Average product, nothing special",5,28,9,7/25/2024 8:00
"Stylish collection, will buy again",5,11,8.8,7/18/2024 23:00
"Excellent customer service, quick refund",3,35,8.8,7/23/2024 4:00
"Great app experience, smooth checkout",2,34,8.8,7/18/2024 6:00
Return process is horrible,4,11,8.8,6/6/2024 15:00
Delivery was delayed by 5 days,3,6,8.7,6/16/2024 1:00
"Worst experience ever, item arrived broken",1,28,8.7,7/21/2024 9:00
App keeps crashing on iPhone,2,10,8.8,6/6/2024 8:00
"Great app experience, smooth checkout",4,32,8.7,7/24/2024 12:00
"Stylish collection, will buy again",4,5,8.8,6/22/2024 10:00
Delivery was delayed by 5 days,1,46,9,6/19/2024 16:00
"Stylish collection, will buy again",2,14,9,7/17/2024 23:00
"Great app experience, smooth checkout",2,31,9,7/22/2024 23:00
Return process is horrible,4,10,8.8,7/7/2024 9:00
Delivery was delayed by 5 days,1,22,9,6/20/2024 16:00
"Stylish collection, will buy again",1,25,8.7,7/14/2024 1:00
App keeps crashing on iPhone,5,33,9,7/30/2024 12:00
"Average product, nothing special",2,45,9,6/13/2024 13:00
Love the quality and fast delivery,4,33,9,6/10/2024 14:00
"Average product, nothing special",2,28,8.7,7/9/2024 10:00
"Great app experience, smooth checkout",1,3,8.8,7/16/2024 9:00
"Worst experience ever, item arrived broken",2,16,8.7,7/10/2024 0:00
Love the quality and fast delivery,4,34,8.8,6/5/2024 15:00
"Excellent customer service, quick refund",5,12,8.8,7/14/2024 4:00
App keeps crashing on iPhone,5,40,9,7/30/2024 0:00
"Excellent customer service, quick refund",3,38,8.8,6/21/2024 19:00
Delivery was delayed by 5 days,4,14,8.7,7/9/2024 19:00
Love the quality and fast delivery,2,28,8.7,6/25/2024 21:00
"Excellent customer service, quick refund",3,28,8.8,6/10/2024 17:00
"Excellent customer service, quick refund",5,10,9,6/26/2024 1:00
"Stylish collection, will buy again",1,31,9,6/14/2024 1:00
"Average product, nothing special",1,1,8.7,6/24/2024 13:00
